OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL247	1	1	1	1	1	yes	yes	yes	no	yes	223	4.46	50
ORTHOMCL248	1	1	1	1	1	yes	no	yes	yes	yes	222	4.44	50
ORTHOMCL249	1	1	1	1	1	yes	yes	yes	yes	yes	222	4.35	51
ORTHOMCL250	1	1	1	1	1	yes	no	yes	yes	yes	222	4.44	50
ORTHOMCL251	1	1	1	1	1	yes	yes	yes	yes	yes	222	4.35	51
ORTHOMCL252	1	1	1	1	1	yes	no	yes	no	yes	221	5.53	40
ORTHOMCL253	1	1	1	1	0	yes	no	yes	no	no	221	4.60	48
ORTHOMCL254	1	1	1	1	1	yes	no	yes	no	yes	221	4.51	49
ORTHOMCL255	1	1	1	1	1	yes	no	yes	no	yes	221	5.26	42
ORTHOMCL256	1	1	1	1	1	yes	no	yes	no	yes	221	5.82	38
ORTHOMCL257	1	1	1	1	1	no	no	no	yes	yes	220	6.11	36
ORTHOMCL258	1	1	1	0	1	no	yes	no	no	yes	220	7.10	31
ORTHOMCL259	1	1	1	1	1	yes	yes	yes	yes	yes	220	4.31	51
ORTHOMCL260	1	1	1	1	1	yes	yes	yes	yes	yes	220	4.31	51
ORTHOMCL261	1	1	1	1	1	yes	no	yes	yes	yes	219	5.92	37
ORTHOMCL262	1	1	1	1	1	yes	yes	yes	yes	yes	219	4.29	51
ORTHOMCL263	1	1	1	1	1	yes	no	yes	no	yes	219	4.47	49
ORTHOMCL264	1	1	1	1	1	yes	yes	no	no	yes	219	7.82	28
ORTHOMCL265	1	1	1	1	1	yes	yes	yes	yes	yes	219	4.29	51
ORTHOMCL266	1	1	1	1	1	yes	yes	yes	yes	yes	218	4.27	51
ORTHOMCL267	1	1	1	1	1	yes	yes	yes	no	yes	218	4.36	50
ORTHOMCL268	1	1	1	1	0	yes	yes	yes	no	no	217	4.43	49
ORTHOMCL269	1	1	1	1	1	no	no	yes	no	yes	217	5.17	42
ORTHOMCL270	1	1	1	1	1	yes	yes	yes	yes	yes	217	4.25	51
ORTHOMCL271	1	1	1	1	1	no	yes	no	yes	yes	217	5.42	40
ORTHOMCL272	1	1	1	1	1	yes	yes	yes	yes	yes	217	4.25	51
ORTHOMCL273	1	1	1	1	1	no	no	yes	no	yes	217	5.17	42
ORTHOMCL274	1	1	1	1	1	yes	yes	yes	yes	yes	216	4.24	51
ORTHOMCL275	1	1	1	1	1	no	no	no	yes	yes	216	6.35	34
ORTHOMCL276	1	1	1	1	1	yes	yes	yes	yes	yes	216	4.24	51
ORTHOMCL277	1	1	1	1	1	yes	yes	yes	yes	yes	216	4.24	51
ORTHOMCL278	1	1	1	1	1	yes	no	yes	yes	yes	216	4.32	50
ORTHOMCL279	1	1	1	1	1	yes	yes	no	yes	yes	215	4.30	50
ORTHOMCL280	1	1	1	1	1	yes	yes	no	yes	yes	215	5.12	42
ORTHOMCL281	1	1	1	1	1	yes	no	yes	yes	yes	215	4.30	50
ORTHOMCL282	1	1	1	1	1	no	yes	yes	no	yes	214	5.63	38
ORTHOMCL283	1	1	1	1	1	no	yes	yes	no	yes	214	4.46	48
ORTHOMCL284	1	1	1	1	1	yes	yes	yes	yes	yes	213	4.18	51
ORTHOMCL285	1	1	1	1	1	yes	yes	yes	no	yes	213	4.35	49
ORTHOMCL286	1	1	1	1	1	no	yes	yes	yes	yes	212	4.24	50
ORTHOMCL287	1	1	1	1	1	yes	no	no	yes	yes	212	4.42	48
ORTHOMCL288	1	1	1	1	1	yes	yes	yes	yes	yes	212	4.16	51
ORTHOMCL289	1	1	1	1	1	yes	yes	yes	yes	yes	212	4.16	51
ORTHOMCL290	1	1	1	1	1	no	yes	yes	no	yes	211	4.40	48
ORTHOMCL291	1	1	1	1	1	yes	no	yes	yes	yes	211	4.31	49
ORTHOMCL292	1	1	1	1	1	yes	no	yes	yes	yes	211	5.28	40
ORTHOMCL293	1	1	1	1	0	yes	yes	yes	no	no	211	4.59	46
ORTHOMCL294	1	1	1	1	1	yes	yes	yes	yes	yes	209	4.10	51
ORTHOMCL295	1	1	1	1	1	yes	no	yes	no	yes	209	4.98	42
ORTHOMCL296	1	1	1	1	1	yes	yes	yes	no	yes	208	4.24	49
ORTHOMCL297	1	1	1	1	1	yes	yes	yes	yes	yes	208	4.08	51
ORTHOMCL298	1	1	1	1	1	yes	yes	yes	yes	yes	208	4.08	51
ORTHOMCL299	1	1	1	1	1	yes	yes	yes	yes	yes	208	4.08	51
ORTHOMCL300	1	1	1	1	1	no	no	no	no	yes	208	7.70	27
ORTHOMCL301	1	1	1	0	1	no	yes	yes	no	yes	208	6.12	34
ORTHOMCL302	1	1	1	1	1	no	no	yes	yes	yes	208	4.33	48
ORTHOMCL303	1	1	1	1	1	yes	no	yes	yes	yes	207	4.14	50
ORTHOMCL304	1	1	1	1	1	no	yes	no	yes	yes	207	4.81	43
ORTHOMCL305	1	1	1	1	1	yes	yes	yes	yes	yes	207	4.06	51
ORTHOMCL306	1	1	1	1	1	yes	no	no	no	yes	207	5.59	37
ORTHOMCL307	1	1	1	1	1	yes	no	yes	yes	yes	207	4.14	50
ORTHOMCL308	1	1	1	1	1	no	no	no	no	yes	207	5.59	37
ORTHOMCL309	1	1	1	1	1	no	yes	no	yes	yes	206	5.15	40
ORTHOMCL310	1	1	1	1	1	yes	yes	yes	no	yes	206	4.12	50
ORTHOMCL311	1	1	1	1	1	yes	no	yes	yes	yes	206	4.38	47
ORTHOMCL312	1	1	1	1	1	yes	yes	yes	yes	yes	205	4.02	51
ORTHOMCL313	1	1	1	1	1	yes	no	yes	no	yes	205	4.36	47
ORTHOMCL314	1	1	1	1	1	yes	yes	yes	no	yes	205	4.10	50
ORTHOMCL315	1	1	1	1	1	yes	yes	yes	yes	yes	205	4.02	51
ORTHOMCL316	1	1	1	1	1	no	yes	yes	yes	yes	204	4.08	50
ORTHOMCL317	1	1	1	1	1	no	yes	no	yes	yes	204	4.25	48
ORTHOMCL318	1	1	1	1	1	no	no	yes	yes	yes	204	4.25	48
